Words;Meanings;Words_trimmed;Meanings_trimmed;CN_Words_NLLB;CN_Meanings_NLLB
personeelsuitje (het);"dagje uit met alle collega’s; personeelsuitjes";personeelsuitje;"dagje uit met alle collega’s; personeelsuitjes";员工资金;陪同员工,工作人员的问题
pretpark (het);"attractiepark, een terrein waar je allerlei leuke dingen kunt doen; pretparken";pretpark;"attractiepark, een terrein waar je allerlei leuke dingen kunt doen; pretparken";娱乐场;"游乐场,一个可以做各种各样的乐趣的事情的地方;"
na rijp beraad;na veel en lang overleg;na rijp beraad;na veel en lang overleg;在熟练的讨论后;在经过长时间的讨论之后,
unaniem;iedereen met dezelfde keuze;unaniem;iedereen met dezelfde keuze;通过一致的意见;任何人都有相同的选择
hamvraag (de);de laatste en belangrijkste vraag;hamvraag;de laatste en belangrijkste vraag;问题;最后一个重要问题
bijt het spits af;begint als eerste;bijt het spits af;begint als eerste;咬掉尖;首先开始
museums;"‘museums’ of ‘musea’: allebei goed; het museum";museums;"‘museums’ of ‘musea’: allebei goed; het museum";博物馆;"博物馆或博物馆:两者都好;博物馆"
je kan het zo gek niet;noem maar op, van alles;je kan het zo gek niet;noem maar op, van alles;你不能这么疯狂.;举个名字,一切
variërend;met een variatie;variërend;met een variatie;变化;具有变化
verbijsterend;waar je heel erg verbaasd over bent;verbijsterend;waar je heel erg verbaasd over bent;令人惊;你对此感到非常惊.
spieken;"kijken in het werk van een ander om dat over te nemen; spieken-spiekte-";spieken;"kijken in het werk van een ander om dat over te nemen; spieken-spiekte-";子;为了接纳别人的工作,
folder (de);"brochure, reclame, blad met informatie; folders";folder;"brochure, reclame, blad met informatie; folders";文件;广告,信息说明书,文件
vinding (de);"uitvinding, iets wat iemand voor het eerst bedacht en/of gemaakt heeft;";vinding;"uitvinding, iets wat iemand voor het eerst bedacht en/of gemaakt heeft;";发现;"发明,是某人第一次想起和/或创造的东西;"
spreiding (de);verspreiding, verder bekendmaken;spreiding;verspreiding, verder bekendmaken;化;传播,进一步公布
propageerde;"reclame maakte voor; propageren-propageerde-gepropageerd";propageerde;reclame maakte voor;宣传;广告
gesticht;"opgericht, begonnen; stichten-stichtte-gesticht";gesticht;opgericht, begonnen;成立;成立,开始
Fransman (de);man met de Franse nationaliteit (vrouw: Française);Fransman;man met de Franse nationaliteit (vrouw: Française);法国人;法国国籍的男性 (女性:法兰西语)
belangwekkende;interessante;belangwekkende;interessante;相关的;很有趣
stichting (de);"het stichten, het beginnen, het oprichten; stichtingen";stichting;"het stichten, het beginnen, het oprichten; stichtingen";基金会;创立,开始,建立,创立
Nachtwacht (De);"Night watch/Ronde de nuit/Nachtwache/Gece Nöbeti; de wacht, de bewaking;";Nachtwacht (De);"Night watch/Ronde de nuit/Nachtwache/Gece Nöbeti; de wacht, de bewaking;";清夜 (夜间);黑夜警卫/夜间警卫/夜间警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警卫/黑夜警/黑夜警卫/黑夜警/黑夜警/黑夜警/黑夜警卫/黑夜警/黑夜警卫/黑夜警/黑夜警/黑夜警/
Rembrandt;Rembrandt van Rijn, Nederlands beroemdste schilder (1606-1669);Rembrandt;Rembrandt van Rijn, Nederlands beroemdste schilder (1606-1669);雷布兰特;莱恩的伦勃朗德,荷兰最著名的画家 (1606-1669)
gestort;"gegooid; storten-stortte-gestort";gestort;gegooid;倒;抛弃
bewaakt;"beschermd; bewaken-bewaakte-bewaakt";bewaakt;beschermd;守护者;保护
topstukken;"mooiste en belangrijkste kunstwerken; het topstuk";topstukken;"mooiste en belangrijkste kunstwerken; het topstuk";顶部作品;"最美丽,最重要的艺术品;最顶尖的作品"
nabijgelegen;dichtbijgelegen;nabijgelegen;dichtbijgelegen;附近的;附近的
naar;volgens;naar;volgens;转到;根据
muurvlakken;"de oppervlakte van een muur; het muurvlak";muurvlakken;"de oppervlakte van een muur; het muurvlak";墙面;"墙面;墙面"
horizontale;van links naar rechts;horizontale;van links naar rechts;水平;从左到右
accenten;"onderdelen waarop je de nadruk wilt leggen; het accent";accenten;"onderdelen waarop je de nadruk wilt leggen; het accent";语音;"需要强调的部分;"
openingen;"gaten; de opening";openingen;"gaten; de opening";开放;"孔;开口"
platen;"plat stuk hard materiaal; de plaat";platen;"plat stuk hard materiaal; de plaat";片;"硬件;板块"
herbergt;"heeft binnen z’n muren; herbergen-herbergde-geherbergd";herbergt;heeft binnen z’n muren;收容;在自己的墙上
toebehoord;"in bezit geweest; toebehoren-behoorde toe-toebehoord";toebehoord;in bezit geweest;属于;曾经拥有过
conform;volgens;conform;volgens;根据;根据
uitdrukkelijke;expliciete, met veel nadruk;uitdrukkelijke;expliciete, met veel nadruk;具体的情况;显而易见,有着大量的强调
aan de slag;aan het werk;aan de slag;aan het werk;开始工作;在工作中
bijkomend;extra;bijkomend;extra;附加;其他
afgezaagde;saaie, iets wat iedereen doet;afgezaagde;saaie, iets wat iedereen doet;的;无聊,这是每个人都会做的事情
reproductie (de);"kopie van een kunstwerk; reproducties";reproductie;"kopie van een kunstwerk; reproducties";繁殖;"复制作品;复制品"
staat het zwart van;zijn er heel veel;staat het zwart van;zijn er heel veel;黑色的;它们很多.
spectaculair;uiterst opvallend en interessant;spectaculair;uiterst opvallend en interessant;的;非常突出,非常有趣.
scheve;schuin, niet recht;scheve;schuin, niet recht;的;斜,而不是直
uitsteeksels;"iets wat buiten het oppervlak uitsteekt; het uitsteeksel";uitsteeksels;"iets wat buiten het oppervlak uitsteekt; het uitsteeksel";子;"表面外出物;出口物"
vliegen;"flies/mouches/Fliegen/sinekler; de vlieg";vliegen;"flies/mouches/Fliegen/sinekler; de vlieg";飞行;"/////;"
klap (de);"hit/coup/Klappe/şamar; klappen";klap;"hit/coup/Klappe/şamar; klappen";打;击/击/击/击
twee vliegen in één klap;twee problemen gelijktijdig oplossen;twee vliegen in één klap;twee problemen gelijktijdig oplossen;两只飞机一次;解决两个问题同时
hoge;ver weg;hoge;ver weg;的;远远
minpuntje (het);"klein nadeel; minpuntjes";minpuntje;"klein nadeel; minpuntjes";缺点;"微弱;缺点"
alternatieven;"andere opties of keuzes; het alternatief";alternatieven;"andere opties of keuzes; het alternatief";其他方法;"其他选择或选择;"
profiteer;"gebruik en geniet; profiteren-profiteerde-geprofiteerd";profiteer;gebruik en geniet;获益;享受和使用
openluchtmusea;"museums/musea in de open lucht; het openluchtmuseum";openluchtmusea;"museums/musea in de open lucht; het openluchtmuseum";开放式博物馆;"开放式博物馆;开放式博物馆"
karakteristiek;kenmerkend;karakteristiek;kenmerkend;标志性;标志性
belichten;"laten zien; belichten-belichtte-belicht";belichten;laten zien;照明;展示
stadsgezichten;"panorama van een stad; het stadsgezicht";stadsgezichten;"panorama van een stad; het stadsgezicht";城市景观;"城市的景观;城市的景观"
vallen te;zijn te;vallen te;zijn te;陷入;它们
tussen twee haakjes;overigens;tussen twee haakjes;overigens;在两个子之间;另外,
reus (de);"giant/géant/Riese/dev; reuzen";reus;"giant/géant/Riese/dev; reuzen";巨人;巨人/巨人/巨人/巨人
poppenhuisjes;"heel kleine huisjes; het poppenhuisje";poppenhuisjes;"heel kleine huisjes; het poppenhuisje";子;非常小的小屋,小子
miniatuurgrachtjes;"heel kleine grachten; het miniatuurgrachtje";miniatuurgrachtjes;"heel kleine grachten; het miniatuurgrachtje";微型孔;"非常小的道;"
in z’n werk ging;werkte, gedaan werd;in z’n werk ging;werkte, gedaan werd;他开始工作.;工作,完成
uitvoering (de);de realisatie, het bouwen;uitvoering;de realisatie, het bouwen;执行;实现,建设
interrumperen;"het spreken van iemand stoppen om zelf iets te zeggen; interrumperen-";interrumperen;"het spreken van iemand stoppen om zelf iets te zeggen; interrumperen-";打断;"停止别人说话,以便自己说话;"
brochure (de);"folder, reclame, blad met informatie; brochures";brochure;"folder, reclame, blad met informatie; brochures";简章;"广告,信息报纸;小册子"
daterend;die dateert;daterend;die dateert;约定;现在,
kwart van de eeuw;vijfentwintig jaar;kwart van de eeuw;vijfentwintig jaar;百年四分之一;二十五年
collectie (de);"verzameling; collecties";collectie;"verzameling; collecties";收藏;"收藏;收藏"
een heel stel;heel veel;een heel stel;heel veel;一个好子;很多
unieke;zeldzame, iets wat niet vaak voorkomt;unieke;zeldzame, iets wat niet vaak voorkomt;唯一的;很少发生,
belevenis (de);"ervaring; belevenissen";belevenis;"ervaring; belevenissen";生命;"经验;经验"
architectuur (de);bouwkunst;architectuur;bouwkunst;建筑;建筑艺术
hoe het ook zij;hoe dan ook, of ik het begrijp of niet;hoe het ook zij;hoe dan ook, of ik het begrijp of niet;无论如何,;无论我理解还是不理解
kijk eens aan;kijk, dit is wat we willen;kijk eens aan;kijk, dit is wat we willen;现在看看;看,这是我们想要的
bevooroordeeld;met een vooroordeel;bevooroordeeld;met een vooroordeel;偏见的;偏见的
om maar iets te noemen;bijvoorbeeld;om maar iets te noemen;bijvoorbeeld;为了说出什么;例如:
veelzijdige;met veel verschillende kunstvormen;veelzijdige;met veel verschillende kunstvormen;许多方面;艺术品的形式
gebruiksvoorwerpen;"artefacts/utensils/Gebrauchsgüter/mutfak eşyaları, ev eşyaları vs.; het";gebruiksvoorwerpen;"artefacts/utensils/Gebrauchsgüter/mutfak eşyaları, ev eşyaları vs.; het";其他使用物品;"工艺品/工具/用品/工艺品 eşyaları, ev eşyaları等;"
prenten;"tekeningen of plaatjes op papier; de prent";prenten;"tekeningen of plaatjes op papier; de prent";印刷品;"纸上的图纸或图片;印刷品"
aanvulling (de);"wat de informatie meer compleet maakt; aanvullingen";aanvulling;"wat de informatie meer compleet maakt; aanvullingen";补充;为了使信息更完整,补充
inventarisatie (de);een lijst maken van alle dingen die moeten gebeuren of die er zijn;inventarisatie;een lijst maken van alle dingen die moeten gebeuren of die er zijn;库存;编写所有必须发生或存在的事情的清单
bijdrage (de);"aandeel, wat iemand zegt in een discussie; bijdragen";bijdrage;"aandeel, wat iemand zegt in een discussie; bijdragen";贡献;"参与,在讨论中说什么;"
eenmaal, andermaal…;1, 2, en hierna kun je niet meer reageren;eenmaal, andermaal…;1, 2, en hierna kun je niet meer reageren;一次,一次.;1,2,然后你就无法回应.
gaan over tot;beginnen aan het volgende punt;gaan over tot;beginnen aan het volgende punt;转移到;开始下一个点
stemmen;"to vote/voter/stimmen/oylamak; stemmen-stemde-gestemd";stemmen;to vote/voter/stimmen/oylamak;投票;投票/投票/投票/
overweldigende;enorm grote;overweldigende;enorm grote;对于那些人来说,;非常大的
plan van aanpak (het);wat je precies gaat doen, methode om iets te doen;plan van aanpak;wat je precies gaat doen, methode om iets te doen;行动计划;你将要做什么,做什么的方法
kostenplaatje (het);overzicht van de kosten;kostenplaatje;overzicht van de kosten;费用表;费用概述
mail door;"stuur door; doormailen-mailde door-doorgemaild";mail door;stuur door;通过邮件;转发
vast;alvast, nu al;vast;alvast, nu al;肯定会;现在,现在
met het oog op;denkend aan;met het oog op;denkend aan;为了;在思考
notulen;de besproken punten van de vergadering;notulen;de besproken punten van de vergadering;报告;会议讨论的内容
rondvraag (de);bespreking van punten die niet op de agenda staan (aan het eind van een;rondvraag;bespreking van punten die niet op de agenda staan (aan het eind van een;问问;讨论未列入议程的议题 (在一个会议结束时)
ga het rijtje af;geef iedereen één voor één een beurt;ga het rijtje af;geef iedereen één voor één een beurt;排队吧;给每个人一个一个轮
aanwezigheid (de);presentie;aanwezigheid;presentie;存在;存在
kolom (de);"smal, verticaal deel van een tekst; kolommen";kolom;"smal, verticaal deel van een tekst; kolommen";列表;"文字的狭窄,垂直部分;列"
voorleggen;"presenteren, vragen; voorleggen-legde voor-voorgelegd";voorleggen;presenteren, vragen;提交;提出问题
tegoed (het);"geld op een rekening dat je kunt gebruiken; tegoeden";tegoed;"geld op een rekening dat je kunt gebruiken; tegoeden";债务;存入一个可以使用的账户,
tussendoor;tussen twee delen in;tussendoor;tussen twee delen in;在此期间;在两部分之间
afsluiting (de);het eind(e), de afronding;afsluiting;het eind(e), de afronding;结局;结尾 (e),结尾
opinies;"meningen; de opinie";opinies;"meningen; de opinie";意见;"意见;意见"
opbouw (de);de indeling, de constructie;opbouw;de indeling, de constructie;建设;结构,结构
d.d.;de dato = op de datum;d.d.;de dato = op de datum;其他;时间:
afwezig;absent;afwezig;absent;没有;缺席
rondje (het);"rondleiding, tocht die weer op hetzelfde punt terugkomt; rondjes";rondje;"rondleiding, tocht die weer op hetzelfde punt terugkomt; rondjes";周围;"巡回游览,重回同一点的游览;巡回游览"
graven;"een gat of sloot graven; graven-groef-gegraven";graven;een gat of sloot graven;挖掘;挖掘一个洞或坑
beesten;"grote dieren voor de menselijke consumptie (koeien, schapen, geiten); het beest";beesten;"grote dieren voor de menselijke consumptie (koeien, schapen, geiten); het beest";动物;"大型动物供人食 (牛,羊,山羊);"
Botermarkt (de);markt waar vroeger zuivelproducten (melk, kaas, boter) werden verkocht;Botermarkt;markt waar vroeger zuivelproducten (melk, kaas, boter) werden verkocht;油市;过去销售奶制品 (牛奶,奶酪,面包) 的市场
dol zijn op;gek zijn op, heel veel houden van;dol zijn op;gek zijn op, heel veel houden van;爱上它们;爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上,爱上
fungeerde als;"functioneerde als, had de functie van; fungeren-fungeerde-gefungeerd";fungeerde als;functioneerde als, had de functie van;作为;作为一个
omtrek (de);omgeving;omtrek;omgeving;周围;环境
rondvaartboot (de);"boot die met toeristen een rondje door de stad vaart; rondvaartboten";rondvaartboot;"boot die met toeristen een rondje door de stad vaart; rondvaartboten";巡航船;"游客乘坐游览城市的船;巡游船"
zicht (het);uitzicht;zicht;uitzicht;视力;景观
bruggetjes;"kleine bruggen; het bruggetje";bruggetjes;"kleine bruggen; het bruggetje";桥梁;桥梁,小桥梁
toren (de);"tower/tour/Turm/kule; torens";toren;"tower/tour/Turm/kule; torens";塔楼;"塔/塔/塔/子;塔"
helt;"hangt over; hellen-helde-geheld";helt;hangt over;子;着
uit het lood;scheef (lood = het paslood rechtop 90°);uit het lood;scheef (lood = het paslood rechtop 90°);的; (=面直90°)
niet voor niets;met een duidelijke reden;niet voor niets;met een duidelijke reden;没有什么理由.;有明确的理由.
tot de dag van vandaag;tot nu toe;tot de dag van vandaag;tot nu toe;直到今天;到目前为止
begraafplaats (de);waar men de doden begraaft;begraafplaats;waar men de doden begraaft;墓地;在那里埋葬死人
kwam uit in;stroomde naar;kwam uit in;stroomde naar;进来了;流入到
legde aan;"bouwde; aanleggen-legde aan-aangelegd";legde aan;bouwde;起了;建造
wol (de);"wool/laine/Wolle/yün; wollen = van wol gemaakt";wol;"wool/laine/Wolle/yün; wollen = van wol gemaakt";羊毛;"羊毛/羊毛/羊毛/羊毛;羊毛 = 羊毛"
knooppunt (het);"centraal punt van waaruit veel (water)wegen lopen; knooppunten";knooppunt;"centraal punt van waaruit veel (water)wegen lopen; knooppunten";关键点;"许多 (水路) 路由的中心点;关节点"
tegenhield;"stopzette, een einde maakte aan; tegenhouden-hield tegen-tegengehouden";tegenhield;stopzette, een einde maakte aan;阻止了;停止,结束
uitgroeien tot;uiteindelijk heel groot worden;uitgroeien tot;uiteindelijk heel groot worden;发展成;终于会变得非常大
van hieruit;vanuit dit punt;van hieruit;vanuit dit punt;从这里;从此
vroom;strikt godsdienstig;vroom;strikt godsdienstig;虔诚的人;严格宗教信仰
bierbrouwerij (de);"fabriek waar men bier brouwt; bierbrouwerijen";bierbrouwerij;"fabriek waar men bier brouwt; bierbrouwerijen";酒厂;"酒厂;酒厂"
in vroeger tijden;vroeger, langer geleden;in vroeger tijden;vroeger, langer geleden;在古时,;过去,更久以前
bereiding (de);het klaarmaken;bereiding;het klaarmaken;制备;准备它
oprichting (de);de start;oprichting;de start;创建;起始
vestiging (de);het vestigen, het stichten;vestiging;het vestigen, het stichten;公司;建立,建立
porselein (het);materiaal, in de oven gebakken klei;porselein;materiaal, in de oven gebakken klei;子;材料,烤的
vonden hun weg naar;werden verkocht in;vonden hun weg naar;werden verkocht in;找到自己的路径;销售在
aardewerk (het);voorwerpen van gebakken aarde;aardewerk;voorwerpen van gebakken aarde;陶;土的物品
imiteren;"namaken; imiteren-imiteerde-geïmiteerd";imiteren;namaken;模仿;模拟
nagemaakt;"geïmiteerd; namaken-maakte na-nagemaakt";nagemaakt;geïmiteerd;模仿;模仿
imitaties;"nagemaakte voorwerpen; de imitatie";imitaties;"nagemaakte voorwerpen; de imitatie";模仿;"模拟物体;模拟物体"
voorstellingen;"beelden, decoraties; de voorstelling";voorstellingen;"beelden, decoraties; de voorstelling";演出;"图像,装饰;表演"
oer-;oud en typisch-;oer-;oud en typisch-;现在,;旧的,典型的
begrip (het);iets wat iedereen kent;begrip;iets wat iedereen kent;了解;任何人都知道的东西
verdringen zich;"duwen elkaar opzij om iets te kunnen zien; verdringen-verdrong-verdrongen";verdringen zich;duwen elkaar opzij om iets te kunnen zien;逐渐退出;为了看到东西,我们可以互相推向.
gevestigd;aanwezig;gevestigd;aanwezig;成立;存在
sfinx (de);geheimzinnig wezen waar we weinig van weten (beeld bij de drie piramides van;sfinx;geheimzinnig wezen waar we weinig van weten (beeld bij de drie piramides van;鱼;那些我们不太了解的神秘生物 (图像
herberg (de);"klein hotel-restaurant (oud woord); herbergen";herberg;"klein hotel-restaurant (oud woord); herbergen";收容所;"酒店餐厅 (旧词);住宿"
voortzette;"doorging met; voortzetten-zette voort-voortgezet";voortzette;doorging met;继续;通过
hemzelf;Vermeer;hemzelf;Vermeer;他自己;化
reproducties;"kopie; de reproductie";reproducties;"kopie; de reproductie";繁殖;复制
posters;"affiche, groot stuk papier met foto of ander beeld; de poster";posters;"affiche, groot stuk papier met foto of ander beeld; de poster";广告;"张贴片,大型纸张,有照片或其他图像;海报"
gezicht op;uitzicht op;gezicht op;uitzicht op;面上;展望
karakteristieke;typerende, kenmerkende;karakteristieke;typerende, kenmerkende;标志性;标志性,特征性
geveltjes;"voorkanten van gebouwen, façades; het geveltje";geveltjes;"voorkanten van gebouwen, façades; het geveltje";子;建筑面,面,面
schuin weglopende lijnen;lijnen die niet recht maar schuin getekend zijn en daardoor perspectief geven;schuin weglopende lijnen;lijnen die niet recht maar schuin getekend zijn en daardoor perspectief geven;斜线走路;线条不直而斜,从而提供视角
camera obscura (de);"donkere kamer met gaatje in de muur als lens; eerste oude vorm van een";camera obscura;"donkere kamer met gaatje in de muur als lens; eerste oude vorm van een";摄像头暗;"暗室,墙上孔子,像镜头;"
natuuronderzoeker (de);"bioloog en/of fysicus; natuuronderzoekers";natuuronderzoeker;"bioloog en/of fysicus; natuuronderzoekers";物理学家;"生物学家和/或物理学家;自然科学家"
autodidact (de);"iemand met veel kennis maar zonder diploma of formele opleiding; autodidacten";autodidact;"iemand met veel kennis maar zonder diploma of formele opleiding; autodidacten";自学学;"具有丰富知识,但没有学位或正式教育的人;自学者"
van jongs af aan;vanaf de tijd dat hij kind was;van jongs af aan;vanaf de tijd dat hij kind was;从小开始;他从小就开始
biologie (de);de studie van de natuur (planten, dieren, enz.);biologie;de studie van de natuur (planten, dieren, enz.);生物;生物的研究 (植物,动物等)
richtte in;"organiseerde, maakte; inrichten-richtte in-ingericht";richtte in;organiseerde, maakte;已成立;组织,制造
glas blazen;"glas maken door te blazen; blazen-blies-geblazen";glas blazen;glas maken door te blazen;吹玻璃;通过吹风来制造玻璃
polijsten;"glad maken; polijsten-polijstte-gepolijst";polijsten;glad maken;警官;滑滑
in aanraking met;in contact met, leerde kennen;in aanraking met;in contact met, leerde kennen;接触到;接触,认识
microscoop (de);"apparaat om zeer kleine dingen te kunnen zien; microscopen";microscoop;"apparaat om zeer kleine dingen te kunnen zien; microscopen";显微镜;"能够看到非常小的东西的设备;显微镜"
ofschoon;"(formeel; schrijftaal) hoewel";ofschoon;"(formeel; schrijftaal) hoewel";虽然;虽然
uitvinder (de);"iemand die iets heel nieuws bedenkt en maakt; uitvinders";uitvinder;"iemand die iets heel nieuws bedenkt en maakt; uitvinders";发明者;想出和创造出什么,
versie (de);"variant; versies";versie;"variant; versies";版本;"变种;版本"
uitgevonden;"bedacht en gemaakt; uitvinden-vond uit-uitgevonden";uitgevonden;bedacht en gemaakt;发明;想到和制造
vergroting (de);"grotere versie; vergrotingen";vergroting;"grotere versie; vergrotingen";增加;"较大的版本;扩大"
bereiken;"komen tot, vinden; bereiken-bereikte-bereikt";bereiken;komen tot, vinden;实现;找到
ongekend;zeer bijzonder, nog nooit gebeurd;ongekend;zeer bijzonder, nog nooit gebeurd;没有人见过;非常特别,从未发生过
druppeltjes;"drops/gouttes/Tropfen/damlalar; het druppeltje";druppeltjes;"drops/gouttes/Tropfen/damlalar; het druppeltje";滴滴;"滴/垃圾/滴/;滴"
zweet (het);transpiratie;zweet;transpiratie;汗水;汗水
korreltjes;"grain/graines/Körner/taneler; het korreltje";korreltjes;"grain/graines/Körner/taneler; het korreltje";子;"种子/种子/谷物/菜;小粒"
haren;"hairs/cheveux/Hahre/kıllar; de haar";haren;"hairs/cheveux/Hahre/kıllar; de haar";头发;"毛////;头发"
minutieus;zeer precies, met veel details;minutieus;zeer precies, met veel details;细节;非常精确,详细.
ontdekkingen;"dingen die hij uitgevonden en ontdekt had; de ontdekking";ontdekkingen;"dingen die hij uitgevonden en ontdekt had; de ontdekking";发现;他发明的东西,他发现的东西,
correspondentie (de);"briefwisseling; correspondenties";correspondentie;"briefwisseling; correspondenties";通信;"交信;信件"
bevindingen;"gegevens, resultaten van onderzoek; de bevinding";bevindingen;"gegevens, resultaten van onderzoek; de bevinding";结果;"调查结果;发现"
bloedlichaampjes;"cellen (kleine deeltjes in het bloed); het bloedlichaampje";bloedlichaampjes;"cellen (kleine deeltjes in het bloed); het bloedlichaampje";血体;"细胞 (血液中的小颗粒);血液体"
bacteriën;heel kleine deeltjes (alleen met een microscoop te zien) die mensen ziek kunnen;bacteriën;heel kleine deeltjes (alleen met een microscoop te zien) die mensen ziek kunnen;细菌;微粒可以让人生病
insecten;"klein dier met meestal zes poten en vaak met vleugels; het insect";insecten;"klein dier met meestal zes poten en vaak met vleugels; het insect";昆虫;"动物通常有六条腿,通常有翅膀;昆虫"
eitjes;"eggs/oeufs/Eier/yumurtalar; het eitje";eitjes;"eggs/oeufs/Eier/yumurtalar; het eitje";蛋;"蛋/卵/蛋/蛋;蛋"
uit het niets;zomaar vanzelf, zonder begin, zonder ouders;uit het niets;zomaar vanzelf, zonder begin, zonder ouders;没有什么;没有开始,没有父母.
kerkelijke;kerk-;kerkelijke;kerk-;圣灵;圣堂
aardverschuiving (de);revolutie, zeer grote verandering in het denken;aardverschuiving;revolutie, zeer grote verandering in het denken;变地;革命,思想的巨大变化
overschat;"belangrijker gedacht dan de werkelijkheid; het belang kan moeilijk overschat";overschat;"belangrijker gedacht dan de werkelijkheid; het belang kan moeilijk overschat";超过估值;"重要的是,我们认为它比现实更重要;"
instituut (het);"organisatie voor onderwijs of onderzoek; instituten";instituut;"organisatie voor onderwijs of onderzoek; instituten";机构;"教育或研究组织;机构"
nanotechnologie (de);technologie die werkt met kleine deeltjes, net iets groter dan atomen en;nanotechnologie;technologie die werkt met kleine deeltjes, net iets groter dan atomen en;纳米技术;技术可以使用比原子更大的微粒,
aanleg (de);het bouwen;aanleg;het bouwen;建筑物;建设
d.w.z. = dat wil zeggen;dat betekent;d.w.z. = dat wil zeggen;dat betekent;换句话说,;这意味着
aangelegenheid (de);"zaak, kwestie; aangelegenheden";aangelegenheid;"zaak, kwestie; aangelegenheden";问题;案件,问题,事项
gezien het feit dat;"door, vanwege het feit dat; omdat";gezien het feit dat;"door, vanwege het feit dat; omdat";考虑到;由于
civiele;burgerlijke, geen militaire;civiele;burgerlijke, geen militaire;公民;公民,而不是军事
voorloper (de);"iets of iemand die een nieuwe ontwikkeling aankondigt; voorlopers";voorloper;"iets of iemand die een nieuwe ontwikkeling aankondigt; voorlopers";预告;"任何新发展的消息或消息;前"
gezondheidszorg (de);medische zorg;gezondheidszorg;medische zorg;医疗保健;医疗保健
duurzame;sustainable/durable/Nachhaltig/dayanıklı;duurzame;sustainable/durable/Nachhaltig/dayanıklı;可持续性;可持续/可持续/可持续/dayanıklı
watertechnologie (de);technologie voor zuivering en gebruik van water;watertechnologie;technologie voor zuivering en gebruik van water;水技术;水处理和使用技术
vakgebied (het);"gebied van onderzoek; vakgebieden";vakgebied;"gebied van onderzoek; vakgebieden";专业领域;"研究领域;专业领域"
gebundeld;bij elkaar gebracht;gebundeld;bij elkaar gebracht;捆绑;它们被组合在一起
zonne-energie (de);energie die door de zon wordt opgewekt;zonne-energie;energie die door de zon wordt opgewekt;太阳能;太阳能产生的能量
innovaties;"nieuwe bijzondere uitvindingen; de innovatie";innovaties;"nieuwe bijzondere uitvindingen; de innovatie";创新;创新,新型专业发明
overvloed (de);heel grote aantallen;overvloed;heel grote aantallen;丰富;非常大的数量
hanteert;"heeft, gebruikt; hanteren-hanteerde-gehanteerd";hanteert;heeft, gebruikt;处理;已使用
intrekken;"te komen wonen; intrekken-trok in-ingetrokken";intrekken;te komen wonen;撤销;为了生活
democratisch;politiek systeem waarbij de meerderheid van het volk beslist;democratisch;politiek systeem waarbij de meerderheid van het volk beslist;民主;政权制度,多数人决定
schatkamer (de);"gebouw of kamer met veel bijzondere en dure dingen; schatkamers";schatkamer;"gebouw of kamer met veel bijzondere en dure dingen; schatkamers";宝藏室;"建筑物或房间,有很多特别和昂贵的东西;宝藏室"
terrasjes;"ruimte buiten, voor een restaurant of café, waar je kunt zitten; het terrasje";terrasjes;"ruimte buiten, voor een restaurant of café, waar je kunt zitten; het terrasje";露台;"室外空间,餐厅或咖啡馆,可以坐的地方;"
zitten er niet mee;"vinden het geen probleem; ermee zitten-zat ermee-ermee gezeten";zitten er niet mee;vinden het geen probleem;别和他们在一起.;没有问题
plaatje (het);"plat vlak, hier van glas; plaatjes";plaatje;"plat vlak, hier van glas; plaatjes";图片;"平,这里是玻璃;图片"
lens (de);"voorwerp van glas waardoor je de dingen groter of kleiner kunt zien; lenzen";lens;"voorwerp van glas waardoor je de dingen groter of kleiner kunt zien; lenzen";镜头;"玻璃体可以让你看到大小的东西;"
schroefjes;"screws/Schraube/vis/vidalar; het schroefje";schroefjes;"screws/Schraube/vis/vidalar; het schroefje";螺丝;"螺丝/螺丝/鱼/;螺丝"
replica (de);"exacte kopie; replica’s";replica;"exacte kopie; replica’s";复制;复制品
werking (de);functionering, hoe iets werkt;werking;functionering, hoe iets werkt;运行;功能,如何运作
afgebeeld;"met een plaatje of tekening; afbeelden-beeldde af-afgebeeld";afgebeeld;met een plaatje of tekening;图像;图片或图纸
object (het);"voorwerp, ding; objecten";object;"voorwerp, ding; objecten";标题;"物件,物件;物品"
bevestigd;"vastgemaakt; bevestigen-bevestigde-bevestigd";bevestigd;vastgemaakt;已确认;封闭
instelbaar;te veranderen;instelbaar;te veranderen;可调节;改变
campagne (de);"publieke actie om reclame te maken; campagnes";campagne;"publieke actie om reclame te maken; campagnes";活动;"公共活动以营销;活动"
